-0.15288-0.1584i,-0.25099-0.024276i,-0.20946+0.15008i,-0.052797+0.22818i,0.041269+0.23533i,0.20879+0.17586i,0.27616,0.18954-0.15851i,0.10891-0.21852i,-0.065179-0.26708i,-0.2205-0.16158i,-0.23995+0.014007i,-0.20708+0.10339i,-0.095716+0.23752i,0.082208+0.2372i,0.18838+0.11149i
-0.16892+0.14282i,-0.067075+0.20326i,0.044396+0.19779i,0.12737+0.13834i,0.28878+0.17007i,0.33711,0.28693-0.16855i,0.15816-0.28096i,0.04115-0.27121i,-0.10447-0.26514i,-0.22917-0.17857i,-0.28822-0.036002i,-0.10446+0.017398i,-0.091866+0.076776i,-0.041108+0.12524i,0.035877+0.13675i
0.22023+0.11798i,0.25547,0.22348-0.12047i,0.1343-0.20431i,-0.20095-0.14572i,-0.25149-0.035835i,-0.2389+0.08663i,-0.16467+0.1851i,0.17974+0.16864i,0.24421+0.064562i,0.24591-0.057598i,0.18663-0.16243i,-0.15087-0.18888i,-0.23115-0.09847i,-0.25176+0.023162i,-0.20634+0.13553i
0.080044+0.22422i,0.18444+0.14789i,0.23189+0.030605i,0.21132-0.091454i,0.27012,0.23027-0.13998i,0.12353-0.23711i,-0.01671-0.26415i,0.12942-0.22894i,-0.0065214-0.26443i,-0.14395-0.22385i,-0.2415-0.1166i,-0.14749-0.16965i,-0.21725-0.069206i,-0.22506+0.054409i,-0.16565+0.16473i
0.088933-0.24445i,-0.035015-0.27749i,-0.15915-0.22839i,-0.22574-0.11997i,0.20318+0.046192i,0.2255-0.063324i,0.17398-0.16799i,0.074396-0.22013i,0.20707-0.094699i,0.14502-0.18482i,0.038001-0.22337i,-0.06646-0.1902i,0.15302+0.21348i,0.25277+0.13192i,0.2855,0.23477-0.12094i
-0.15181-0.18401i,-0.23508-0.11554i,-0.26118-0.0099393i,-0.21924+0.089884i,0.15357+0.18096i,0.23644+0.11185i,0.26181+0.0060162i,0.21913-0.093527i,-0.15422-0.1784i,-0.23709-0.10918i,-0.26241-0.0033218i,-0.21968+0.096133i,0.15528+0.17544i,0.23786+0.10589i,0.26275,0.21969-0.09917i
-0.012174+0.23432i,0.11345+0.21152i,0.20406+0.12164i,0.22723+8.1561e-005i,0.23293+0.13903i,0.27853,0.23689-0.14162i,0.12475-0.2325i,0.22627-0.13685i,0.12813-0.24069i,-0.014374-0.27101i,-0.1472-0.21539i,-0.0083072-0.21887i,-0.12372-0.18842i,-0.2034-0.095237i,-0.21541+0.026389i
-0.074132+0.2114i,0.047833+0.2723i,0.16009+0.22278i,0.20011+0.09027i,0.19536+0.10987i,0.27649,0.24714-0.1191i,0.12372-0.18119i,0.14223-0.17328i,0.047837-0.27228i,-0.074529-0.26399i,-0.15676-0.15331i,-0.14588-0.17023i,-0.25981-0.094184i,-0.27283+0.02772i,-0.17813+0.12756i
0.044769+0.1381i,0.11959+0.11023i,0.16762+0.036797i,0.16394-0.057617i,0.18822+0.2041i,0.27931+0.092569i,0.29292-0.055872i,0.22023-0.18906i,0.27011+0.15096i,0.31935,0.27735-0.15189i,0.16126-0.25264i,0.21015+0.040544i,0.20114-0.071833i,0.13458-0.15469i,0.040421-0.18257i
-0.069744-0.23168i,-0.18055-0.16327i,-0.23975-0.046521i,-0.22934+0.084275i,0.11966+0.22677i,0.22044+0.13295i,0.25772,0.22031-0.1329i,-0.16247-0.19863i,-0.24223-0.086468i,-0.25196+0.050928i,-0.18891+0.17306i,0.18662+0.15516i,0.24001+0.036534i,0.22387-0.092352i,0.14338-0.19358i
0.036479+0.22348i,0.16126+0.17728i,0.23664+0.063873i,0.23131-0.071761i,-0.15007-0.20301i,-0.24772-0.09208i,-0.2603+0.058423i,-0.18116+0.1861i,0.21736+0.14155i,0.26706,0.22236-0.14454i,0.10259-0.23233i,-0.24061-0.019145i,-0.21653+0.11391i,-0.11859+0.20818i,0.0133+0.22633i
