0.01043+0.092568i,0.056947+0.07372i,0.086933+0.033471i,0.091682-0.016494i,0.069816-0.061671i,0.027682-0.088945i,-0.022487-0.090399i,-0.066128-0.06561i,-0.10201-0.044068i,-0.11007+0.015261i,-0.086178+0.07016i,-0.037265+0.10469i,0.022465+0.10883i,0.075674+0.081378i,0.10692+0.030301i,0.10712-0.029572i,0.098719-0.081048i,0.042336-0.12051i,-0.026337-0.12498i,-0.087364-0.093176i,-0.12303-0.034321i,-0.12298+0.034497i,-0.08723+0.093301i,-0.026157+0.12502i,0.036015+0.13576i,0.10123+0.097368i,0.13706+0.03071i,0.1331-0.044863i,0.090501-0.10741i,0.021632-0.13878i,-0.053517-0.12986i,-0.11313-0.083243i,-0.14485-0.019173i,-0.13378+0.05877i,-0.083865+0.11965i,-0.0096075+0.1458i,0.067439+0.12962i,0.12491+0.075816i,0.14612,0.12491-0.075816i,0.068662-0.12421i,-0.0057562-0.14181i,-0.078503-0.11824i,-0.12846-0.060346i,-0.14113+0.015068i,-0.11282+0.086108i,-0.051769+0.13215i,0.024315+0.13983i,0.080155+0.098069i,0.11941+0.042244i,0.12399-0.025844i,0.092587-0.08643i,0.034302-0.12193i,-0.033941-0.12203i,-0.092331-0.086704i,-0.12392-0.026211i,-0.09839+0.026723i,-0.070243+0.073896i,-0.021705+0.099617i,0.033134+0.09642i,0.078354+0.065232i,0.10083+0.015108i,0.094033-0.039402i,0.059939-0.082474i
0.077014-0.017599i,0.056704-0.055005i,0.019932-0.076443i,-0.022625-0.07569i,-0.058615-0.052964i,-0.077588-0.014863i,-0.074039+0.027553i,-0.048996+0.06197i,0.054988-0.096089i,-0.0028518-0.11067i,-0.059864-0.09313i,-0.099497-0.048551i,-0.11025+0.010123i,-0.088992+0.065857i,-0.041904+0.10247i,0.01735+0.10934i,-0.041318-0.12911i,-0.10231-0.08893i,-0.1336-0.022935i,-0.12611+0.049718i,-0.08201+0.10794i,-0.014101+0.13482i,0.057902+0.12257i,0.1131+0.074736i,-0.13682-0.061857i,-0.14905+0.018111i,-0.11802+0.092822i,-0.052727+0.14059i,0.027873+0.14754i,0.10038+0.11166i,0.14375+0.04337i,0.14539-0.037513i,-0.13977+0.061403i,-0.087622+0.12501i,-0.010038+0.15233i,0.07046+0.13543i,0.1305+0.079212i,0.15266,0.1305-0.079212i,0.07046-0.13543i,-0.045211+0.13494i,0.031368+0.13881i,0.098841+0.10239i,0.13762+0.036241i,0.13645-0.040427i,0.095667-0.10536i,0.027114-0.13971i,-0.049311-0.1335i,0.057579+0.10493i,0.10366+0.059819i,0.11966-0.0026521i,0.10091-0.064353i,0.052874-0.10737i,-0.010514-0.11922i,-0.070849-0.096462i,-0.11062-0.045699i,0.085078+0.021443i,0.083855-0.025814i,0.05829-0.065577i,0.015803-0.086303i,-0.031271-0.081976i,-0.069268-0.053852i,-0.087156-0.010094i,-0.079743+0.036594i
0.0364+0.10142i,0.083738+0.067808i,0.10677+0.014516i,0.098802-0.042989i,0.062155-0.088015i,0.0074649-0.10749i,-0.049393-0.095762i,-0.091912-0.056234i,0.088328-0.08392i,0.031963-0.11757i,-0.03368-0.11709i,-0.089546-0.082619i,-0.11942-0.024164i,-0.11462+0.041306i,-0.076552+0.094785i,-0.01626+0.12075i,-0.11995-0.05619i,-0.1317+0.014206i,-0.10521+0.080479i,-0.048181+0.12339i,0.022835+0.13048i,0.087223+0.099692i,0.12629+0.039964i,0.1287-0.031365i,-0.009124+0.13846i,0.064046+0.1231i,0.11862+0.072001i,0.13876,0.11862-0.072001i,0.064046-0.1231i,-0.009124-0.13846i,-0.079645-0.11363i,0.13184-0.042i,0.090912-0.10431i,0.023591-0.13634i,-0.050578-0.12879i,-0.11006-0.083857i,-0.1376-0.014575i,-0.12519+0.058937i,-0.076438+0.11534i,-0.082667-0.10132i,-0.12324-0.043724i,-0.12804+0.02657i,-0.09567+0.089151i,-0.035526+0.12585i,0.034931+0.12602i,0.095248+0.089601i,0.12791+0.027174i,-0.058344+0.10473i,0.0044641+0.1198i,0.065976+0.10009i,0.10834+0.051332i,0.11925-0.012331i,0.095538-0.072414i,0.044097-0.11148i,-0.020145-0.11818i,0.10511+0.0088617i,0.094448-0.046961i,0.056372-0.089151i,0.0019316-0.10546i,-0.053069-0.091155i,-0.092665-0.050388i,-0.10536+0.0050068i,-0.087469+0.058948i
0.043272+0.11242i,0.095322+0.073649i,0.1197+0.013499i,0.10933-0.05057i,0.067222-0.099958i,0.0055994-0.12033i,-0.057649-0.10577i,-0.10416-0.060504i,0.095039-0.078582i,0.04047-0.11649i,-0.025847-0.12058i,-0.084661-0.089666i,-0.1189-0.032723i,-0.11862+0.033719i,-0.083905+0.090373i,-0.024834+0.12079i,-0.10022-0.069848i,-0.12192-0.0077058i,-0.10822+0.056673i,-0.063107+0.1046i,0.00032729+0.12216i,0.063666+0.10426i,0.10852+0.056093i,0.12188-0.0083589i,-0.040773+0.12428i,0.02963+0.1274i,0.091432+0.09353i,0.12669+0.032513i,0.12517-0.037943i,0.087316-0.097384i,0.024112-0.12855i,-0.046091-0.12241i,0.13229,0.11309-0.068641i,0.061057-0.11736i,-0.0086982-0.132i,-0.075928-0.10833i,-0.12112-0.053208i,-0.13114+0.017359i,-0.1031+0.082887i,-0.037772-0.11845i,-0.09375-0.081659i,-0.12251-0.021162i,-0.11571+0.045478i,-0.075318+0.098916i,-0.013061+0.12364i,0.052988+0.11247i,0.10365+0.068651i,-0.10335+0.067256i,-0.053448+0.11112i,0.011966+0.12272i,0.073905+0.098699i,0.11439+0.046026i,0.12167-0.020009i,0.093626-0.080235i,0.038405-0.11717i,0.095584+0.077158i,0.12175+0.016363i,0.11256-0.049183i,0.070706-0.10045i,0.0083222-0.12256i,-0.056478-0.10909i,-0.10488-0.063948i,-0.12284-0.00024578i
-0.098398-0.0048479i,-0.086631+0.046912i,-0.049715+0.085053i,0.0016324+0.098504i,0.052506+0.083359i,0.088138+0.044015i,0.098183-0.0081056i,0.079726-0.057874i,0.11104+0.044965i,0.11825-0.019178i,0.091139-0.077753i,0.037566-0.11376i,-0.026912-0.11674i,-0.083577-0.085829i,-0.11598-0.030005i,-0.11472+0.034529i,-0.10056-0.089085i,-0.13218-0.023979i,-0.12544+0.048088i,-0.082281+0.1062i,-0.015236+0.13347i,0.056232+0.12201i,0.11138+0.07512i,0.13419+0.0064266i,0.065232+0.12538i,0.12082+0.073335i,0.14134,0.12082-0.073335i,0.065232-0.12538i,-0.009293-0.14103i,-0.08112-0.11574i,-0.1294-0.056847i,-0.019976-0.13739i,-0.088367-0.10709i,-0.1311-0.045692i,-0.13578+0.028967i,-0.10104+0.095217i,-0.036972+0.13383i,0.037832+0.13358i,0.10165+0.094565i,-0.02593+0.13446i,0.047603+0.1284i,0.10732+0.085063i,0.13588+0.017033i,0.12499-0.055942i,0.077822-0.11268i,0.0080616-0.1367i,-0.064039-0.12104i,0.068757-0.10366i,0.0049928-0.12429i,-0.06022-0.10884i,-0.10795-0.061792i,-0.12435+0.00319i,-0.10464+0.067246i,-0.054561+0.11178i,0.011359+0.12387i,-0.077241+0.05876i,-0.03554+0.090309i,0.016477+0.095642i,0.063712+0.07321i,0.092451+0.029525i,0.094352-0.02273i,0.068862-0.068388i,0.023383-0.094192i
-0.028615-0.11533i,-0.084305-0.083744i,-0.11552-0.027846i,-0.1132+0.036137i,-0.07802+0.089629i,-0.02019+0.1171i,0.043502+0.11058i,0.094565+0.071958i,0.078847+0.096839i,0.11765+0.041871i,0.1223-0.025252i,0.091445-0.085044i,0.034045-0.12015i,-0.033238-0.12037i,-0.090873-0.085655i,-0.12213-0.026071i,-0.11563-0.055445i,-0.12761+0.012598i,-0.10255+0.076984i,-0.047723+0.11902i,0.020961+0.12651i,0.08356+0.097269i,0.1219+0.039794i,0.12486-0.029234i,0.12935,0.11058-0.067118i,0.059702-0.11475i,-0.0085052-0.12907i,-0.074243-0.10593i,-0.11843-0.052028i,-0.12823+0.016974i,-0.10081+0.081047i,-0.11627+0.056435i,-0.07011+0.10857i,-0.003598+0.12919i,0.063958+0.11231i,0.11295+0.062819i,0.12915-0.0049043i,0.10786-0.071204i,0.055257-0.11683i,0.079442-0.10002i,0.016013-0.12672i,-0.052064-0.11664i,-0.10503-0.072694i,-0.1275-0.0076464i,-0.11296+0.059621i,-0.065631+0.10958i,0.00075368+0.12773i,-0.028286+0.12053i,0.038357+0.11771i,0.093865+0.08072i,0.12212+0.0203i,0.11493-0.046014i,0.074374-0.09897i,0.012226-0.12319i,-0.053471-0.11166i,-0.024444-0.11475i,-0.080435-0.085407i,-0.11308-0.031275i,-0.11289+0.031936i,-0.079933+0.085876i,-0.023772+0.11489i,0.03929+0.11055i,0.090946+0.074114i
-0.11653-0.043831i,-0.12236+0.022994i,-0.092666+0.083144i,-0.036075+0.11916i,0.030989+0.12058i,0.089057+0.086999i,0.12127+0.028162i,0.11828-0.038851i,0.1141+0.051175i,0.12409-0.015459i,0.098062-0.077604i,0.043561-0.11722i,-0.023585-0.12281i,-0.083884-0.092747i,-0.11983-0.03576i,-0.12099+0.031609i,-0.11103-0.058303i,-0.12516+0.007769i,-0.10297+0.071585i,-0.050876+0.11462i,0.015982+0.12438i,0.0782+0.098035i,0.11772+0.04323i,0.12306-0.024126i,0.10733+0.065144i,0.12555,0.10733-0.065144i,0.057946-0.11138i,-0.008255-0.12528i,-0.072059-0.10281i,-0.11495-0.050497i,-0.12446+0.016474i,-0.10303-0.07163i,-0.12524-0.0077722i,-0.1111+0.058341i,-0.0647+0.10752i,0.00047957+0.12548i,0.06552+0.10702i,0.11154+0.057491i,0.12518-0.0087293i,0.098191+0.077698i,0.12425+0.015471i,0.11425-0.051246i,0.071073-0.10309i,0.007268-0.125i,-0.058647-0.11063i,-0.10754-0.064141i,-0.12521+0.00096686i,-0.092853-0.08329i,-0.12259-0.023022i,-0.11674+0.043929i,-0.077005+0.098128i,-0.014912+0.12384i,0.05151+0.1136i,0.10298+0.070386i,0.12455+0.0067367i,0.087075+0.088358i,0.12028+0.030352i,0.11857-0.036465i,0.082441-0.092696i,0.022377-0.12202i,-0.044183-0.11592i,-0.097916-0.076168i,-0.12323-0.014306i
-0.042507-0.069429i,-0.072362-0.037296i,-0.081211+0.0056643i,-0.066484+0.04698i,-0.032457+0.074658i,0.010992+0.080663i,0.05125+0.063251i,0.07663+0.027478i,-0.11191-0.0067828i,-0.099182+0.052266i,-0.057666+0.096143i,0.00058982+0.11211i,0.058675+0.095531i,0.099726+0.05122i,0.11183-0.0079599i,0.091466-0.064829i,-0.09117+0.10281i,-0.024589+0.1352i,0.04913+0.12833i,0.10859+0.084212i,0.13652+0.015646i,0.12482-0.057462i,0.07689-0.11389i,0.006636-0.13725i,0.02324+0.1502i,0.097803+0.11634i,0.14397+0.048708i,0.14835-0.033066i,0.10966-0.10524i,0.039136-0.14687i,-0.042749-0.14585i,-0.11222-0.1025i,0.13055+0.079243i,0.15272,0.13055-0.079243i,0.070488-0.13548i,-0.010042-0.15239i,-0.087656-0.12506i,-0.13982-0.061427i,-0.1514+0.02004i,0.13181-0.046098i,0.08876-0.1078i,0.019942-0.13821i,-0.054665-0.12849i,-0.1134-0.081479i,-0.13922-0.010811i,-0.12462+0.062996i,-0.073847+0.11851i,0.036812-0.10994i,-0.025574-0.11308i,-0.080536-0.083396i,-0.11212-0.029504i,-0.11115+0.032954i,-0.077921+0.085845i,-0.022068+0.11382i,0.040191+0.10875i,-0.052088-0.069589i,-0.080636-0.032461i,-0.085775+0.014091i,-0.066013+0.056551i,-0.027089+0.082596i,0.0197+0.084662i,0.060769+0.062152i,0.084198+0.021599i
-0.10019+0.0094498i,-0.080746+0.060065i,-0.03786+0.093244i,0.016017+0.099354i,0.065244+0.076622i,0.095531+0.031647i,0.098086-0.022515i,0.072166-0.070141i,-0.058486+0.11345i,0.0088697+0.12733i,0.07365+0.10425i,0.11705+0.0509i,0.12647-0.017223i,0.099178-0.080345i,0.043093-0.12014i,-0.025501-0.12507i,0.06431+0.12361i,0.11911+0.072298i,0.13934,0.11911-0.072298i,0.06431-0.12361i,-0.0091617-0.13904i,-0.079974-0.1141i,-0.12757-0.056043i,0.13119-0.0042304i,0.10996-0.071689i,0.056799-0.11834i,-0.012847-0.13063i,-0.078764-0.105i,-0.12182-0.048895i,-0.1295+0.021409i,-0.099598+0.085498i,0.045119-0.11787i,-0.022587-0.12417i,-0.083736-0.094426i,-0.12058-0.037272i,-0.12241+0.030702i,-0.088716+0.089763i,-0.029263+0.12277i,0.038685+0.12013i,-0.097974-0.095154i,-0.13313-0.030506i,-0.12963+0.042997i,-0.088506+0.10402i,-0.021687+0.13484i,0.051428+0.12652i,0.10961+0.081475i,0.13598+0.012774i,-0.12544+0.028607i,-0.092391+0.089543i,-0.032519+0.12449i,0.036793+0.12329i,0.095425+0.086304i,0.12635+0.024264i,0.1206-0.04482i,0.079843-0.10089i,-0.0401+0.095878i,0.015469+0.10277i,0.066547+0.079825i,0.098307+0.033709i,0.10153-0.022193i,0.075277-0.071652i,0.027172-0.10031i,-0.02882-0.09985i
0.094084-0.051587i,0.05366-0.092917i,-0.0023405-0.10727i,-0.057662-0.090488i,-0.096244-0.047435i,-0.10689+0.0093888i,-0.086501+0.063487i,-0.041004+0.099155i,-0.11509-0.036002i,-0.11707+0.028943i,-0.085058+0.085485i,-0.028356+0.11721i,0.036578+0.11491i,0.090893+0.079253i,0.11882+0.020588i,0.11226-0.044054i,0.058032+0.11695i,0.11029+0.069868i,0.13054+0.0024984i,0.11289-0.065596i,0.062465-0.11465i,-0.00609-0.13042i,-0.072877-0.10833i,-0.11851-0.054791i,0.046399-0.12799i,-0.026745-0.13348i,-0.092124-0.10023i,-0.13076-0.037883i,-0.13144+0.035464i,-0.093958+0.098515i,-0.029203+0.13297i,0.044029+0.12882i,-0.12515+0.054981i,-0.078458+0.11194i,-0.008988+0.1364i,0.063091+0.12127i,0.11686+0.070928i,0.1367,0.11686-0.070928i,0.063091-0.12127i,0.12196+0.050879i,0.13065-0.019786i,0.10142-0.084708i,0.04275-0.12504i,-0.028334-0.12907i,-0.091193-0.095635i,-0.12758-0.034436i,-0.12693+0.03676i,-0.044112-0.11475i,-0.09725-0.075205i,-0.12216-0.013829i,-0.1116+0.051562i,-0.068648+0.10198i,-0.0057669+0.1228i,0.058788+0.10797i,0.10628+0.061794i,-0.046844+0.099544i,0.011606+0.1094i,0.066687+0.0875i,0.10241+0.040197i,0.1084-0.018775i,0.082926-0.072296i,0.033377-0.10483i,-0.025861-0.10693i
0.071095+0.041265i,0.082187-0.001614i,0.06942-0.044024i,0.036501-0.073655i,-0.0070144-0.081903i,-0.048494-0.066376i,-0.075895-0.031579i,-0.081265+0.012385i,0.077811+0.089348i,0.11288+0.036005i,0.11518-0.02779i,0.084039-0.083518i,0.028505-0.115i,-0.035303-0.1131i,-0.088863-0.078365i,-0.11663-0.020882i,0.045694+0.13687i,0.11008+0.093293i,0.14251+0.022634i,0.13357-0.054595i,0.085853-0.11597i,0.013215-0.14369i,-0.063259-0.12969i,-0.12137-0.078041i,-0.010092+0.15316i,0.070844+0.13617i,0.13121+0.079644i,0.15349,0.13121-0.079644i,0.070844-0.13617i,-0.010092-0.15316i,-0.088099-0.12569i,-0.061416+0.13575i,0.017938+0.14792i,0.092085+0.11714i,0.1395+0.052357i,0.14642-0.027625i,0.11083-0.099587i,0.043071-0.14264i,-0.037192-0.14428i,-0.094023+0.097052i,-0.030018+0.13175i,0.042701+0.1282i,0.10302+0.087438i,0.13344+0.02129i,0.12512-0.051038i,0.080475-0.10855i,0.01247-0.13455i,-0.10071+0.049557i,-0.060381+0.094621i,-0.0025201+0.11222i,0.056072+0.097237i,0.098387+0.054029i,0.11214-0.0048638i,0.093339-0.062344i,0.047443-0.10173i,-0.08134+0.012156i,-0.063226+0.052597i,-0.026758+0.077769i,0.017478+0.080364i,0.05664+0.059631i,0.07936+0.021587i,0.079041-0.022724i,0.055778-0.060438i
